date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:14	2457/2457	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2010:27:17%20GMT	https://paleturquoise-reindeer-912609.hostingersite.com/pengajuan.html	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/pengajuan.c.delayed	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:14	2457/2457	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2010:27:17%20GMT	https://paleturquoise-reindeer-912609.hostingersite.com/laporkan.html	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/laporkan.html	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:15	2457/2457	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2010:27:17%20GMT	https://paleturquoise-reindeer-912609.hostingersite.com/refund.html	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/refund.html	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:15	1909109/1909109	---M--	200	added ('OK')	image/png	etag:%22v138b%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhHG8bz71IvIJl3PSWe5SPQf2uqQRQd7iX915m31vSQDrIrovNA6ILfIsJj7ePkpIAgn7SBUDGkNctPgm1V0Wj1g1NZCq50Ayw-2r8S0ekfxNwrUpaZ_3rDwwk46KJ8T6ro1LZDWKkFXKdQoV-TGaaFrytMF_60ahkXcBghNf5oSjwqA01os0L4TqOFPx4/s2000/AddText_04-03-07.31.42.png	C:/Users/Pongo/Desktop/coding/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhHG8bz71IvIJl3PSWe5SPQf2uqQRQd7iX915m31vS/s2000/AddText_04-03-07.31.42.png	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:15	107750/107750	---M--	200	added ('OK')	image/png	etag:%22v14ab%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiay900qDhJBTrVpMKboyHBG-112n5BezC6lE5EfrTp52boqs69BJSQAAqtGaswUyYJ7_5AXEeOhCPpfIDAelfG_uvvbX3ToIyuBYzymdUefAuzBp6BFOiAV0E4hJi9JDK0ukK7J6WOLHUZ_Mghnr6WtRNiFisGOGKJe6Ol9pVPeEcagIL3HFPdNPdRtnc/s1368/AddText_05-06-07.24.07.png	C:/Users/Pongo/Desktop/coding/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiay900qDhJBTrVpMKboyHBG-112n5BezC6lE5EfrT/s1368/AddText_05-06-07.24.07.png	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:17	7768/7768	---M--	200	added ('OK')	image/png	etag:%22v60c%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi8hbZEfutKvr9pkj0-mkJYWt-1SBtt3gw-HFOEZc0172okrp0SFHLaW3PRGVDm1U0P7WWEMELIw4nlq1_1gCgyZBo3cxf-OJNpguNamdJryCkGU-hTHiW3RyOv5JD9eIjXTFtrJFCVn0ae4RxG4Oi-czAP20tEaJI3OstxFAbtOwtFxp6RvOHc6NZL/s1600/load_bg.png	C:/Users/Pongo/Desktop/coding/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi8hbZEfutKvr9pkj0-mkJYWt-1SBtt3gw-HFOEZc0/s1600/load_bg.png	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:19	4995/4995	---M--	200	added ('OK')	image/png	etag:%22v60d%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhl9xJVYWF_a9vAhgW5QQgozvZVADTaJgIX64iO7a5sQuMpSoPBK3zfKjvT6xc9fZPfxZz39mjk1H_oZOOOtYvO1l7DkWNqiD5LJyGYdwDNyHuyqLk_Ix6eFs3aLCG2yUXVwtsnj0BXTA40WZmecyLyCIm_ff0xNkkOvkuKBOl6yfS-QjI_EJrIyGtU/s1600/load_spin.png	C:/Users/Pongo/Desktop/coding/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhl9xJVYWF_a9vAhgW5QQgozvZVADTaJgIX64iO7a5/s1600/load_spin.png	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:20	92417/92417	---M--	200	added ('OK')	image/png	etag:%22vdf7%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhW-3Xsq1r5wVb5r0tfUzFr9KzB9hy1r0-W4GkBcDTnYujbw_NNeMWw-l8MZCk4RYNJpcSZRf5tv-TPa5HnYvv_x-EzticmLwx1vO4bIlqTJAiyk4-i96QjCFlPHT8BMy9nF15ISyjxVVOz2DAv8osBBR9onrE3lJf96Vw5erolKuss9ZrTFAFhoJAU4Js/s1080/1704436332522.png	C:/Users/Pongo/Desktop/coding/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhW-3Xsq1r5wVb5r0tfUzFr9KzB9hy1r0-W4GkBcDT/s1080/1704436332522.png	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:20	17/17	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2010:27:23%20GMT	https://paleturquoise-reindeer-912609.hostingersite.com/send_to_telegram.php	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/send_to_telegram.html	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:21	20433/20433	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2010:27:23%20GMT	https://paleturquoise-reindeer-912609.hostingersite.com/login.php	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/login.html	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:21	4976/4976	---M--	200	added ('OK')	image/png	etag:%225ad9e9ac-1370%22	https://owlcarousel2.github.io/OwlCarousel2/assets/owlcarousel/assets/owl.video.play.png	C:/Users/Pongo/Desktop/coding/owlcarousel2.github.io/OwlCarousel2/assets/owlcarousel/assets/owl.video.play.png	(from https://owlcarousel2.github.io/OwlCarousel2/assets/owlcarousel/assets/owl.carousel.min.css)
17:27:21	3850/3850	---M-Z	200	added ('OK')	text/css	etag:%22f0a-67da63fb-c408c448fc9b774e;gz%22	https://paleturquoise-reindeer-912609.hostingersite.com/ast/8d62ea654fcf0e4cae001e344ee2592c.css	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/ast/8d62ea654fcf0e4cae001e344ee2592c.css	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
17:27:21	666/666	---M-Z	200	added ('OK')	text/css	etag:%2229a-67da63fb-d97d2b95db72b559;gz%22	https://paleturquoise-reindeer-912609.hostingersite.com/ast/00b9d2e9f52e505c013c16bb638a42a4.css	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/ast/00b9d2e9f52e505c013c16bb638a42a4.css	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
17:27:22	1255/1255	---M-Z	200	added ('OK')	text/css	etag:%224e7-67da63fb-86747bf14a5b1fd5;gz%22	https://paleturquoise-reindeer-912609.hostingersite.com/ast/6990a7033bbaeadc2040ac863ff124fd.css	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/ast/6990a7033bbaeadc2040ac863ff124fd.css	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
17:27:22	1561/1561	---M-Z	200	added ('OK')	text/css	etag:%22619-67da63fb-fcc198c663c2822d;gz%22	https://paleturquoise-reindeer-912609.hostingersite.com/ast/3fadc676582b9542004b502ee03df3a3.css	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/ast/3fadc676582b9542004b502ee03df3a3.css	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
17:27:22	790/790	---M-Z	200	added ('OK')	text/css	etag:%22316-67da63fb-f9e0436c37a69dde;gz%22	https://paleturquoise-reindeer-912609.hostingersite.com/ast/47e4c58f6b9789b8a33f2525cf084599.css	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/ast/47e4c58f6b9789b8a33f2525cf084599.css	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
17:27:22	9937/9937	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Mar%202025%2010:27:25%20GMT	https://paleturquoise-reindeer-912609.hostingersite.com/ast/img/dana_logo.png	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/ast/img/dana_logo.png	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
17:27:23	31697/31697	---M-Z	200	added ('OK')	image/svg+xml	etag:%227bd1-67da640d-3a914ef4c8915edf;gz%22	https://paleturquoise-reindeer-912609.hostingersite.com/ast/img/hero.svg	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/ast/img/hero.svg	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
17:27:23	10580/10580	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Mar%202025%2010:27:25%20GMT	https://paleturquoise-reindeer-912609.hostingersite.com/ast/img/dana_text.png	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/ast/img/dana_text.png	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
17:27:23	16538/16538	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Mar%202025%2010:27:26%20GMT	https://paleturquoise-reindeer-912609.hostingersite.com/ast/img/bi.png	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/ast/img/bi.png	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
17:27:23	8482/8482	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Mar%202025%2010:27:26%20GMT	https://paleturquoise-reindeer-912609.hostingersite.com/ast/img/kom.png	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/ast/img/kom.png	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
17:27:24	10941/10941	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Mar%202025%2010:27:26%20GMT	https://paleturquoise-reindeer-912609.hostingersite.com/ast/img/load_bg.png	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/ast/img/load_bg.png	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
17:27:24	6001/6001	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Mar%202025%2010:27:26%20GMT	https://paleturquoise-reindeer-912609.hostingersite.com/ast/img/load_spin.png	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/ast/img/load_spin.png	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
17:27:24	493/493	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Mar%202025%2010:27:27%20GMT	https://paleturquoise-reindeer-912609.hostingersite.com/ast/img/indo.png	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/ast/img/indo.png	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
17:27:25	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/Users/Pongo/Desktop/coding/code.jquery.com/jquery-3.5.1.min.js	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
17:27:25	7920/7920	---M-Z	200	added ('OK')	application/x-javascript	etag:%221ef0-67da63fb-a6413ab1b0cae70b;gz%22	https://paleturquoise-reindeer-912609.hostingersite.com/ast/jquery.mask.min.js	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/ast/jquery.mask.min.js	(from https://paleturquoise-reindeer-912609.hostingersite.com/login.php)
